Features,Selector,CorrectWords,Score
Ground,BIC,80,0.5505617979999999
Ground,DIC,76,0.573033708
Ground,CV,82,0.539325843
Polar,BIC,81,0.54494382
Polar,DIC,81,0.54494382
Polar,CV,78,0.561797753
Delta,BIC,69,0.6123595510000001
Delta,DIC,67,0.623595506
Delta,CV,69,0.6123595510000001
C1,BIC,66,0.629213483
C1,DIC,58,0.674157303
C1,CV,63,0.6460674160000001
C2,BIC,64,0.640449438
C2,DIC,60,0.662921348
C2,CV,71,0.601123596
Ground+Polar,BIC,80,0.5505617979999999
Ground+Polar,DIC,82,0.539325843
Ground+Polar,CV,77,0.56741573
Ground+Delta,BIC,92,0.483146067
Ground+Delta,DIC,89,0.5
Ground+Delta,CV,88,0.505617978
Ground+C1,BIC,82,0.539325843
Ground+C1,DIC,82,0.539325843
Ground+C1,CV,70,0.606741573
Ground+C2,BIC,79,0.556179775
Ground+C2,DIC,80,0.5505617979999999
Ground+C2,CV,82,0.539325843
Ground+Polar+Delta,BIC,93,0.47752809
Ground+Polar+Delta,DIC,87,0.511235955
Ground+Polar+Delta,CV,72,0.595505618
Ground+C1+C2,BIC,77,0.56741573
Ground+C1+C2,DIC,77,0.56741573
Ground+C1+C2,CV,81,0.54494382
Ground+Polar+Delta+C1,BIC,88,0.505617978
Ground+Polar+Delta+C1,DIC,77,0.56741573
Ground+Polar+Delta+C1,CV,85,0.52247191
Ground+Polar+Delta+C2,BIC,92,0.483146067
Ground+Polar+Delta+C2,DIC,85,0.52247191
Ground+Polar+Delta+C2,CV,80,0.5505617979999999
Ground+Polar+C2,BIC,84,0.528089888
Ground+Polar+C2,DIC,88,0.505617978
Ground+Polar+C2,CV,85,0.52247191
Ground+Delta+C2,BIC,98,0.449438202
Ground+Delta+C2,DIC,82,0.539325843
Ground+Delta+C2,CV,87,0.511235955
Ground+Delta+C1,BIC,91,0.488764045
Ground+Delta+C1,DIC,85,0.52247191
Ground+Delta+C1,CV,75,0.578651685
Polar+Delta+C1,BIC,95,0.466292135
Polar+Delta+C1,DIC,86,0.5168539329999999
Polar+Delta+C1,CV,88,0.505617978
Polar+Delta+C2,BIC,98,0.449438202
Polar+Delta+C2,DIC,88,0.505617978
Polar+Delta+C2,CV,93,0.47752809
Delta+C1+C2,BIC,97,0.45505618
Delta+C1+C2,DIC,86,0.5168539329999999
Delta+C1+C2,CV,91,0.488764045
C1+C2,BIC,74,0.5842696629213483
C1+C2,DIC,67,0.6235955056179776
C1+C2,CV,67,0.6235955056179776
